Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240302
Jahr;winter;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1996;winter;    -3.48;    -3.49;    -1.08;    -2.49;    -1.77;    -3.50;    -2.34;    -2.34;    -0.83;    -0.77;    -2.58;    -0.13;    -3.36;    -3.00;    -3.11;    -3.24;    -2.28;
1997;winter;    -0.46;    -0.47;    -0.25;    -1.43;    -0.37;    -0.17;     0.64;     0.65;     0.98;     0.07;     0.63;     0.53;    -1.17;    -0.26;    -0.69;    -1.24;    -0.30;
1998;winter;     3.34;     3.33;     2.27;     1.42;     2.80;     3.41;     4.21;     4.21;     4.33;     3.05;     3.95;     3.18;     2.61;     3.57;     3.00;     2.28;     2.97;
1999;winter;     1.48;     1.47;     0.73;    -0.41;     1.51;     1.37;     2.62;     2.62;     3.01;     1.97;     2.00;     2.15;     0.70;     1.86;     1.36;     0.72;     1.33;
2000;winter;     2.60;     2.59;     1.72;     0.65;     2.38;     2.82;     3.69;     3.69;     3.70;     2.79;     3.51;     2.84;     1.70;     2.96;     2.39;     1.68;     2.37;
2001;winter;     1.73;     1.72;     2.45;     0.93;     2.25;     1.80;     2.75;     2.75;     3.50;     3.02;     2.34;     3.37;     1.43;     2.07;     1.74;     1.33;     2.08;
2002;winter;     2.20;     2.19;     1.36;     0.34;     1.97;     2.48;     3.34;     3.34;     3.59;     2.37;     3.10;     2.35;     1.29;     2.45;     1.90;     1.19;     2.01;
2003;winter;    -1.59;    -1.61;    -0.05;    -1.44;    -0.05;    -1.37;    -0.02;    -0.03;     1.23;     0.88;    -0.21;     1.30;    -1.96;    -1.11;    -1.32;    -1.58;    -0.59;
2004;winter;     1.17;     1.16;     0.93;     0.02;     1.62;     1.31;     2.61;     2.61;     2.86;     1.99;     2.18;     2.25;     0.50;     1.67;     1.24;     0.71;     1.38;
2005;winter;     1.43;     1.42;    -0.43;    -1.29;     0.41;     2.03;     2.27;     2.28;     1.90;     0.67;     2.52;     0.80;     0.09;     1.39;     0.71;    -0.16;     0.69;
